time,data
1591033316.410301,0
1591033316.411618,0
1591033316.413675,0
1591033316.415007,0
1591033316.416252,0
1591033316.417411,0
1591033316.420164,0
1591033316.431040,100
1591033316.432142,100
1591033316.435254,100
1591033316.436675,100
1591033316.438046,100
1591033316.446004,100
1591033316.447517,100
1591033316.452559,100
1591033316.453869,100
1591033316.457992,100
1591033316.459326,100
1591033316.464855,100
1591033316.466106,100
1591033316.468699,100
1591033316.475886,100
1591033316.477019,100
1591033316.479051,100
1591033316.480398,100
1591033316.489432,100
1591033316.490548,100
1591033316.492956,100
1591033316.494084,100
1591033316.497392,100
1591033316.500252,100
1591033316.503184,100
1591033316.504620,100
1591033316.508800,100
1591033316.510104,100
1591033316.513038,100
1591033316.514319,100
1591033316.515498,100
1591033316.518444,100
1591033316.521172,100
1591033316.526696,0
1591033316.529144,0
1591033316.534409,0
1591033316.535843,0
1591033316.537203,0
1591033316.538668,0
1591033316.543817,0
1591033316.546819,0
1591033316.547804,0
1591033316.553743,0
1591033316.554966,0
1591033316.558252,0
1591033316.559213,0
1591033316.560482,0
1591033316.561757,0
1591033316.564682,0
1591033316.566308,0
1591033316.567669,0
1591033316.569063,0
1591033316.572418,0
1591033316.575446,0
1591033316.576774,0
1591033316.579259,0
1591033316.581997,0
1591033316.585784,0
1591033316.588887,0
1591033316.591966,0
1591033316.593740,0
1591033316.595143,0
1591033316.600631,0
1591033316.606991,0
1591033316.611454,0
1591033316.614331,0
1591033316.617162,0
1591033316.618481,0
1591033316.620180,0
1591033316.624449,100
1591033316.627073,100
1591033316.629984,100
1591033316.631276,100
1591033316.633856,100
1591033316.638053,100
1591033316.639638,100
1591033316.641731,100
1591033316.642667,100
1591033316.646294,100
1591033316.647372,100
1591033316.648509,100
1591033316.650059,100
1591033316.651489,100
1591033316.658300,100
1591033316.662572,100
1591033316.664984,100
1591033316.667976,100
1591033316.670909,100
1591033316.675389,100
1591033316.680718,100
1591033316.681826,100
1591033316.683024,100
1591033316.684167,100
1591033316.685294,100
1591033316.687979,100
1591033316.689268,100
1591033316.690581,100
1591033316.696171,100
1591033316.700698,100
1591033316.701803,100
1591033316.705191,100
1591033316.707142,100
1591033316.709837,100
1591033316.713916,100
1591033316.716611,100
1591033316.718242,100
1591033316.719631,100
1591033316.722688,100
1591033316.727642,0
1591033316.729560,0
1591033316.730756,0
1591033316.733290,0
1591033316.739169,0
1591033316.741224,0
1591033316.744069,0
1591033316.746148,0
1591033316.747408,0
1591033316.748480,0
1591033316.750024,0
1591033316.752869,0
1591033316.754424,0
1591033316.755658,0
1591033316.757958,0
1591033316.761387,0
1591033316.764088,0
1591033316.769675,0
1591033316.778142,0
1591033316.780646,0
1591033316.782123,0
1591033316.783338,0
1591033316.785025,0
1591033316.787627,0
1591033316.789789,0
1591033316.791678,0
1591033316.793635,0
1591033316.796011,0
1591033316.798968,0
1591033316.800134,0
1591033316.802682,0
1591033316.807985,0
1591033316.811307,0
1591033316.814148,0
1591033316.815339,0
1591033316.816669,0
1591033316.817847,0
1591033316.818949,0
1591033316.820328,0
1591033316.821970,0
1591033316.826019,100
1591033316.827813,100
1591033316.829013,100
1591033316.830118,100
1591033316.831668,100
1591033316.833142,100
1591033316.834422,100
1591033316.837647,100
1591033316.839623,100
1591033316.844684,100
1591033316.846982,100
1591033316.850270,100
1591033316.851490,100
1591033316.854195,100
1591033316.857481,100
1591033316.862531,100
1591033316.865351,100
1591033316.871730,100
1591033316.873930,100
1591033316.875823,100
1591033316.881647,100
1591033316.882822,100
1591033316.884009,100
1591033316.887194,100
1591033316.889124,100
1591033316.892080,100
1591033316.894065,100
1591033316.909477,100
1591033316.910680,100
1591033316.912165,100
1591033316.918718,100
1591033316.921963,100
1591033316.926346,0
1591033316.933582,0
1591033316.934734,0
1591033316.936054,0
1591033316.937152,0
1591033316.939534,0
1591033316.940986,0
1591033316.947397,0
1591033316.948658,0
1591033316.949823,0
1591033316.950973,0
1591033316.953594,0
1591033316.955352,0
1591033316.964266,0
1591033316.966581,0
1591033316.967674,0
1591033316.970376,0
1591033316.972744,0
1591033316.974476,0
1591033316.976368,0
1591033316.980308,0
1591033316.991999,0
1591033316.993302,0
1591033316.996803,0
1591033317.000715,0
1591033317.010085,0
1591033317.011955,0
1591033317.014091,0
1591033317.016658,0
1591033317.020675,0
1591033317.023794,0
1591033317.028695,100
1591033317.030574,100
1591033317.034203,100
1591033317.035876,100
1591033317.038644,100
1591033317.042327,100
1591033317.043774,100
1591033317.047225,100
1591033317.051422,100
1591033317.052459,100
1591033317.053866,100
1591033317.055236,100
1591033317.056467,100
1591033317.057850,100
1591033317.060779,100
1591033317.064713,100
1591033317.066199,100
1591033317.068972,100
1591033317.070453,100
1591033317.071653,100
1591033317.074342,100
1591033317.075504,100
1591033317.076881,100
1591033317.084146,100
1591033317.085486,100
1591033317.103018,100
1591033317.105390,100
1591033317.106951,100
1591033317.108343,100
1591033317.111336,100
1591033317.112781,100
1591033317.115387,100
1591033317.117562,100
1591033317.118907,100
1591033317.120212,100
1591033317.122769,100
1591033317.124313,100
1591033317.127385,100
1591033317.129231,0
1591033317.132199,0
1591033317.136749,0
1591033317.137937,0
1591033317.145354,0
1591033317.151661,0
1591033317.158247,0
1591033317.165331,0
1591033317.177116,0
1591033317.180013,0
1591033317.182083,0
1591033317.185560,0
1591033317.186605,0
1591033317.188012,0
1591033317.189253,0
1591033317.190641,0
1591033317.192013,0
1591033317.194494,0
1591033317.200979,0
1591033317.202453,0
1591033317.203866,0
1591033317.205315,0
1591033317.206675,0
1591033317.208106,0
1591033317.210666,0
1591033317.214666,0
1591033317.218760,0
1591033317.219985,0
1591033317.222419,0
1591033317.225179,0
1591033317.236129,100
1591033317.237353,100
1591033317.240550,100
1591033317.241907,100
1591033317.244847,100
1591033317.246134,100
1591033317.247443,100
1591033317.248857,100
1591033317.250847,100
1591033317.252861,100
1591033317.257134,100
1591033317.264491,100
1591033317.266604,100
1591033317.268480,100
1591033317.272705,100
1591033317.277111,100
1591033317.278377,100
1591033317.282202,100
1591033317.283936,100
1591033317.285914,100
1591033317.288485,100
1591033317.289603,100
1591033317.295598,100
1591033317.297734,100
1591033317.299568,100
1591033317.304780,100
1591033317.309928,100
1591033317.319961,100
1591033317.321373,100
1591033317.322431,100
1591033317.325444,100
1591033317.327929,0
1591033317.331315,0
1591033317.334657,0
1591033317.338861,0
1591033317.340400,0
1591033317.341634,0
1591033317.344320,0
1591033317.345682,0
1591033317.347271,0
1591033317.350287,0
1591033317.352268,0
1591033317.354193,0
1591033317.356794,0
1591033317.359556,0
1591033317.360819,0
1591033317.362030,0
1591033317.363259,0
1591033317.364713,0
1591033317.367573,0
1591033317.368918,0
1591033317.370827,0
1591033317.374726,0
1591033317.376146,0
1591033317.377615,0
1591033317.378881,0
1591033317.380567,0
1591033317.382703,0
1591033317.385537,0
1591033317.388911,0
1591033317.390382,0
1591033317.395622,0
1591033317.398644,0
1591033317.400015,0
1591033317.403638,0
1591033317.406238,0
1591033317.407575,0
1591033317.410318,0
1591033317.411431,0
1591033317.413291,0
1591033317.420305,0
1591033317.425072,0
1591033317.426562,0
1591033317.428099,0
1591033317.431783,100
1591033317.433329,100
1591033317.438194,100
1591033317.439352,100
1591033317.440612,100
1591033317.442151,100
1591033317.444949,100
1591033317.446561,100
1591033317.448962,100
1591033317.451494,100
1591033317.452697,100
1591033317.455196,100
1591033317.456462,100
1591033317.457857,100
1591033317.461546,100
1591033317.462624,100
1591033317.465418,100
1591033317.469269,100
1591033317.470358,100
1591033317.472985,100
1591033317.475788,100
1591033317.477043,100
1591033317.483829,100
1591033317.487001,100
1591033317.488142,100
1591033317.489241,100
1591033317.495874,100
1591033317.504060,100
1591033317.510994,100
1591033317.513796,100
1591033317.515234,100
1591033317.516367,100
1591033317.517656,100
1591033317.519226,100
1591033317.527522,100
1591033317.532865,0
1591033317.534318,0
1591033317.535630,0
1591033317.541574,0
1591033317.542490,0
1591033317.544063,0
1591033317.548823,0
1591033317.561730,0
1591033317.575866,0
1591033317.580593,0
1591033317.585013,0
1591033317.586562,0
1591033317.588033,0
1591033317.591123,0
1591033317.593833,0
1591033317.595843,0
1591033317.598297,0
