time,data
1591033181.490236,0
1591033181.591064,100
1591033181.691605,0
1591033181.792020,100
1591033181.892987,0
1591033182.294699,0
1591033182.396085,100
1591033182.596475,100
1591033182.797863,100
1591033182.898650,0
1591033183.000660,100
1591033183.101335,0
1591033183.302688,0
1591033183.503800,0
1591033183.604937,100
1591033183.806020,100
1591033184.512235,0
1591033184.612800,100
1591033184.713373,0
1591033184.914825,0
1591033185.015442,100
1591033185.115789,0
1591033185.316620,0
1591033185.518471,0
1591033185.820959,100
1591033186.123133,0
