time,data
1591033092.653351,0
1591033092.753573,100
1591033092.854466,0
1591033092.954732,100
1591033093.055486,0
1591033093.156124,100
1591033093.256985,0
1591033093.357240,100
1591033093.457954,0
1591033093.558578,100
1591033093.659571,0
1591033093.759663,100
1591033093.860249,0
1591033093.964463,100
1591033094.061703,0
1591033094.162325,100
1591033094.263744,0
1591033094.364274,100
1591033094.464811,0
1591033094.565348,100
1591033094.665952,0
1591033094.766986,100
1591033094.867678,0
1591033094.968019,100
1591033095.068702,0
1591033095.169400,100
